"";"Nom_Latin";"ID_unique";"Code.Territoire";"Massif";"Annee";"Numero.placette";"Presence";"Consommation";"Optimise";"Long";"Lat";"Score";"geometry";"Appetence_mean";"Div_spe_veg"
"1";"Abies alba";51744;2;"SW BAUGES";2013;"2-055";1;1;"1";891816;2080957;2;c(939940.02006417, 6512109.78497106);1,66666666666667;3
"2";"Abies alba";51757;2;"SW BAUGES";2012;"2-106";1;1;"1";890120;2079685;2;c(938234.693338391, 6510853.59224533);1,66666666666667;3
"3";"Abies alba";51745;2;"SW BAUGES";2011;"2-056";1;0;"1";892028;2080957;2;c(940151.817860089, 6512107.96063049);1,75;4
"4";"Abies alba";51746;2;"SW BAUGES";2016;"2-056";1;0;"1";892028;2080957;2;c(940151.817860089, 6512107.96063049);1,5;2
"5";"Abies alba";51747;2;"SW BAUGES";2005;"2-067";1;0;"1";890756;2080533;2;c(938877.382749701, 6511695.31063206);2;2
"6";"Abies alba";51748;2;"SW BAUGES";2006;"2-067";1;0;"1";890756;2080533;2;c(938877.382749701, 6511695.31063206);2;2
"7";"Abies alba";51749;2;"SW BAUGES";2009;"2-082";1;0;"1";891816;2080321;2;c(939934.547100249, 6511474.39174583);1,33333333333333;3
"8";"Abies alba";51750;2;"SW BAUGES";2011;"2-082";1;0;"1";891816;2080321;2;c(939934.547100249, 6511474.39174583);1,4;5
"9";"Abies alba";51751;2;"SW BAUGES";2005;"2-096";1;0;"1";890544;2079897;2;c(938660.112664623, 6511061.74171036);1,5;4
"10";"Abies alba";51752;2;"SW BAUGES";2007;"2-096";1;1;"1";890544;2079897;2;c(938660.112664623, 6511061.74171036);2;1
"11";"Abies alba";51753;2;"SW BAUGES";2008;"2-096";1;1;"1";890544;2079897;2;c(938660.112664623, 6511061.74171036);1,5;2
"12";"Abies alba";51754;2;"SW BAUGES";2011;"2-096";1;1;"1";890544;2079897;2;c(938660.112664623, 6511061.74171036);1,5;4
"13";"Abies alba";51755;2;"SW BAUGES";2011;"2-098";1;1;"1";890968;2079897;2;c(939083.707939454, 6511058.09341886);2;1
"14";"Abies alba";51756;2;"SW BAUGES";2011;"2-106";1;1;"1";890120;2079685;2;c(938234.693338391, 6510853.59224533);1,66666666666667;3
"15";"Abies alba";51823;2;"SW BAUGES";2007;"2-171";1;0;"1";889908;2078625;2;c(938013.775704525, 6509796.42865998);1,66666666666667;3
"16";"Abies alba";51824;2;"SW BAUGES";2008;"2-171";1;0;"1";889908;2078625;2;c(938013.775704525, 6509796.42865998);1,66666666666667;3
"17";"Abies alba";51825;2;"SW BAUGES";2009;"2-171";1;0;"1";889908;2078625;2;c(938013.775704525, 6509796.42865998);2;2
"18";"Abies alba";51826;2;"SW BAUGES";2010;"2-171";1;0;"1";889908;2078625;2;c(938013.775704525, 6509796.42865998);1,75;4
"19";"Abies alba";51827;2;"SW BAUGES";2005;"2-174";1;0;"1";890544;2078625;2;c(938649.168023444, 6509790.95650896);1,75;4
