"";"odds";"lower";"upper";"species";"variable"
"1";0,92;0,8;1,057;"Abies alba";"elev"
"2";0,953;0,797;1,137;"Abies alba";"northness"
"3";0,031;1,527;0,001;"Abies alba";"lvrm"
"4";3,621;1,389;9,658;"Abies alba";"ldist.lin"
"5";1,877;1,075;3,343;"Abies alba";"ltirs"
"6";0,458;0,251;0,808;"Abies alba";"app_mean"
"7";0,898;0,469;1,716;"Abies alba";"visi"
"8";1,15;1,03;1,286;"Abies alba";"annee"
"9";0,17;0,081;0,339;"Abies alba";"sr"
"10";0,649;0,347;1,194;"Abies alba";"BM"
"11";0,682;0,305;1,52;"Abies alba";"GB"
"12";0,612;0,292;1,273;"Abies alba";"SW BAUGES"
"13";1,108;0,43;2,949;"Abies alba";"HAUTES BAUGES"
"14";1,245;1,055;1,48;"Acer sp";"elev"
"15";0,936;0,757;1,155;"Acer sp";"northness"
"16";2,503;214,431;0,033;"Acer sp";"lvrm"
"17";0,631;0,207;1,931;"Acer sp";"ldist.lin"
"18";2,279;1,066;5,131;"Acer sp";"ltirs"
"19";1,461;0,755;2,905;"Acer sp";"app_mean"
"20";1,219;0,596;2,522;"Acer sp";"visi"
"21";1,055;0,912;1,222;"Acer sp";"annee"
"22";0,26;0,102;0,631;"Acer sp";"sr"
"23";0,617;0,313;1,203;"Acer sp";"BM"
"24";0,453;0,17;1,158;"Acer sp";"GB"
"25";2,248;0,957;5,39;"Acer sp";"SW BAUGES"
"26";3,745;1,409;10,409;"Acer sp";"HAUTES BAUGES"
"27";1,01;0,923;1,105;"Fagus sylvatica";"elev"
"28";0,965;0,856;1,087;"Fagus sylvatica";"northness"
"29";0,044;0,543;0,004;"Fagus sylvatica";"lvrm"
"30";2,079;1,014;4,334;"Fagus sylvatica";"ldist.lin"
"31";1,011;0,688;1,481;"Fagus sylvatica";"ltirs"
"32";0,511;0,367;0,705;"Fagus sylvatica";"app_mean"
"33";1,751;1,152;2,675;"Fagus sylvatica";"visi"
"34";1,073;0,991;1,163;"Fagus sylvatica";"annee"
"35";0,352;0,222;0,553;"Fagus sylvatica";"sr"
"36";1,167;0,793;1,726;"Fagus sylvatica";"BM"
"37";0,968;0,542;1,712;"Fagus sylvatica";"GB"
"38";0,297;0,187;0,466;"Fagus sylvatica";"SW BAUGES"
"39";0,376;0,218;0,643;"Fagus sylvatica";"HAUTES BAUGES"
"40";0,95;0,819;1,102;"Fraxinus excelsior";"elev"
"41";1,077;0,918;1,265;"Fraxinus excelsior";"northness"
"42";35,312;1316,679;1,032;"Fraxinus excelsior";"lvrm"
"43";0,814;0,329;1,999;"Fraxinus excelsior";"ldist.lin"
"44";0,985;0,585;1,663;"Fraxinus excelsior";"ltirs"
"45";1,186;0,77;1,826;"Fraxinus excelsior";"app_mean"
"46";1,092;0,603;1,985;"Fraxinus excelsior";"visi"
"47";1,011;0,909;1,124;"Fraxinus excelsior";"annee"
"48";0,373;0,201;0,675;"Fraxinus excelsior";"sr"
"49";0,878;0,527;1,452;"Fraxinus excelsior";"BM"
"50";0,789;0,374;1,684;"Fraxinus excelsior";"GB"
"51";0,89;0,464;1,706;"Fraxinus excelsior";"SW BAUGES"
"52";1,334;0,648;2,758;"Fraxinus excelsior";"HAUTES BAUGES"
"53";1,008;0,705;1,414;"Hedera helix";"elev"
"54";1,08;0,767;1,528;"Hedera helix";"northness"
